match_name,season,max_odds.home,spread_odds.home,mean_odds.home,stdev.home,max_odds.draw,spread_odds.draw,mean_odds.draw,stdev.draw,max_odds.away,spread_odds.away,mean_odds.away,stdev.away,best_spread,market_tracktake
Leicester-Crystal Palace,18,2.25,0.10000000000000009,2.2066666666666666,0.0476095228569524,3.4,0.1499999999999999,3.3166666666666664,0.05163977794943224,3.7,0.20000000000000018,3.56,0.09380831519646868,0.20000000000000018,0.008832361773538189
Leicester-Crystal Palace,19,1.68,0.030000000000000027,1.6633333333333333,0.012110601416389978,3.66,0.06000000000000005,3.6100000000000003,0.024494897427831803,6.08,0.4800000000000004,5.905,0.18694919095839932,0.4800000000000004,0.032935823164468525
Leicester-Crystal Palace,20,1.48,0.08000000000000007,1.4533333333333334,0.02875181153713046,4.4,0.20000000000000018,4.298333333333334,0.08304617189652197,8.5,1.5,7.873333333333333,0.5406169315390211,1.5,0.02059546177193239
Leicester-Everton,14,3.2,0.30000000000000027,3.0733333333333333,0.13952299690970912,3.4,0.2999999999999998,3.296666666666667,0.12355835328567083,2.46,0.16000000000000014,2.393333333333333,0.051639777949432274,0.30000000000000027,0.013121712099473992
Leicester-Everton,15,1.91,0.07999999999999985,1.8883333333333332,0.03250640962435965,4,0.7999999999999998,3.671666666666667,0.3334916290803513,4.33,0.5300000000000002,4.108333333333333,0.1928125168827654,0.7999999999999998,0.004507091641173799
Leicester-Everton,16,2.57,0.27,2.4616666666666664,0.09600347215943116,3.4,0.10000000000000009,3.3216666666666663,0.04020779360604944,3.15,0.2999999999999998,2.9883333333333333,0.10496030995889187,0.2999999999999998,6.830228848997422e-4
Leicester-Everton,17,2.2,0.06000000000000005,2.166666666666667,0.026583202716502594,3.47,0.17000000000000037,3.385,0.05683308895353138,3.75,0.4500000000000002,3.5766666666666667,0.1620699437485763,0.4500000000000002,0.009396559252466963
Leicester-Everton,18,2.2,0.050000000000000266,2.1866666666666665,0.021602468994692998,3.52,0.1200000000000001,3.4283333333333332,0.049159604012508816,3.6,0.30000000000000027,3.466666666666667,0.15055453054181633,0.30000000000000027,0.016414141414141437
Leicester-Everton,19,1.65,0.04999999999999982,1.625,0.018708286933869618,4.25,0.25,4.073333333333333,0.11518101695447339,5.58,0.3799999999999999,5.338333333333333,0.15942605391424158,0.3799999999999999,0.020566193241714936
Leicester-Everton,20,2.23,0.08000000000000007,2.1966666666666668,0.025819888974716158,3.62,0.3200000000000003,3.5366666666666666,0.12355835328567104,3.37,0.27,3.2083333333333335,0.0957949198374667,0.3200000000000003,0.021409492240704875
Leicester-Fulham,18,1.62,0.050000000000000044,1.5933333333333335,0.019663841605003517,4.5,0.40000000000000036,4.276666666666666,0.14922019523732935,6,0.5999999999999996,5.738333333333333,0.24983327774070974,0.5999999999999996,0.006172839506172867
Leicester-Fulham,20,1.54,0.040000000000000036,1.52,0.016733200530681527,4.53,0.4300000000000006,4.298333333333334,0.14469508169480644,6.5,0.5,6.406666666666666,0.20066555924389884,0.5,0.02394735507318302
Leicester-Huddersfield,17,1.7,0.07999999999999985,1.6616666666666666,0.02639444385977216,4.08,0.33000000000000007,3.8866666666666667,0.1148332123850355,6.01,1.21,5.51,0.5122499389946279,1.21,-2.773155851358844e-4
Leicester-Huddersfield,18,1.67,0.09999999999999987,1.615,0.032710854467592206,4,0.25,3.8766666666666665,0.08869423130433383,7,2,6.245,0.7029580357318636,2,-0.00834046193327631
Leicester-Hull,14,2.25,0.1499999999999999,2.2016666666666667,0.05492419017761357,3.3,0.19999999999999973,3.24,0.07874007874011801,3.78,0.5299999999999998,3.538333333333333,0.24782386218172509,0.5299999999999998,0.01202501202501205
Leicester-Hull,16,1.87,0.07000000000000006,1.8416666666666668,0.02401388487243719,3.6,0.20000000000000018,3.5416666666666665,0.08010409893798617,5,0.5,4.745,0.20916500663351886,0.5,0.012537136066547827
Leicester-Leeds,20,1.85,0.050000000000000044,1.815,0.02073644135332774,4.18,0.3799999999999999,3.9716666666666667,0.12655697004379748,4.27,0.36999999999999966,4.111666666666666,0.1400595111610299,0.3799999999999999,0.01396702777203207
Leicester-Liverpool,14,3.8,0.19999999999999973,3.7083333333333335,0.09174239296348578,3.6,0.5,3.4466666666666668,0.20461345670963746,2.1,0.10000000000000009,2.0733333333333333,0.040824829046386346,0.5,0.01712614870509599
Leicester-Liverpool,15,2.63,0.029999999999999805,2.6166666666666667,0.01366260102127939,3.44,0.33999999999999986,3.2733333333333334,0.13063945294843607,2.9,0.2999999999999998,2.81,0.11153474794878941,0.33999999999999986,0.015753397507630496
Leicester-Liverpool,16,6,1,5.583333333333333,0.3415650255319866,4.27,0.5699999999999994,4.028333333333333,0.23583186100836045,1.7,0.09999999999999987,1.6416666666666666,0.03970726214015091,1,-0.010906001744960259
Leicester-Liverpool,17,4.3,0.5,4.078333333333333,0.1876610419524165,3.9,0.5,3.7199999999999998,0.21863211109075448,2,0.1299999999999999,1.9083333333333332,0.04833908011812662,0.5,-0.011031604054859812
Leicester-Liverpool,18,7.5,1,7.083333333333333,0.4915960401250875,5,0.7000000000000002,4.793333333333333,0.26845235455601185,1.5,0.10000000000000009,1.4483333333333333,0.031885210782848346,1,0
Leicester-Liverpool,19,3.4,0.04999999999999982,3.39,0.019999999999999928,3.81,0.20999999999999996,3.6933333333333334,0.08286535263104033,2.12,0.07000000000000028,2.078333333333333,0.031885210782848464,0.20999999999999996,0.02828295186742058
Leicester-Liverpool,20,3.6,0.20000000000000018,3.4833333333333334,0.07527726527090817,3.53,0.1299999999999999,3.4633333333333334,0.05537749241945382,2.2,0.15000000000000036,2.125,0.05244044240850765,0.20000000000000018,0.015609351303402352
Leicester-Man City,14,7,1.5,6.545,0.6419890964806177,4.75,0.75,4.528333333333333,0.30551050172893673,1.51,0.06000000000000005,1.4933333333333334,0.021602468994692887,1.5,0.01563511427575559
Leicester-Man City,15,4.4,0.6500000000000004,4.088333333333333,0.27823850680067047,4.1,0.6499999999999995,3.9,0.25495097567963904,1.91,0.10999999999999988,1.86,0.03999999999999994,0.6500000000000004,-0.005264624278798702
Leicester-Man City,16,5.28,0.5300000000000002,5.055,0.2398958107179032,4.1,0.49999999999999956,3.9166666666666665,0.1834847859269717,1.75,0.050000000000000044,1.7133333333333334,0.021602468994692887,0.5300000000000002,0.004724949846901083
Leicester-Man City,17,9.5,1.5,8.926666666666666,0.7377443098165289,5.89,0.8899999999999997,5.573333333333333,0.34563950391508586,1.35,0.020000000000000018,1.34,0.010954451150103333,1.5,0.01578318556247238
Leicester-Man City,18,10,2,9.193333333333333,0.7695886347047146,5.31,0.3099999999999996,5.135,0.14949916387726045,1.37,0.020000000000000018,1.36,0.006324555320336764,2,0.018250924436746585
