date,season,match_name,books,track_take
16/09/13,13,Swansea-Liverpool,williamhill,0.0599747474747474
16/09/13,13,Swansea-Liverpool,vcbet,0.03437738731856377
21/09/13,13,Chelsea-Fulham,bet365,0.026477146042363398
21/09/13,13,Chelsea-Fulham,bwin,0.0687747035573123
21/09/13,13,Chelsea-Fulham,interwetten,0.08034188034188028
21/09/13,13,Chelsea-Fulham,pinnacle,0.021446078431372584
21/09/13,13,Chelsea-Fulham,williamhill,0.035213032581453474
21/09/13,13,Chelsea-Fulham,vcbet,0.026029918850950073
21/09/13,13,Liverpool-Southampton,bet365,0.028846153846153744
21/09/13,13,Liverpool-Southampton,bwin,0.0608557186374965
21/09/13,13,Liverpool-Southampton,interwetten,0.08014297530426573
21/09/13,13,Liverpool-Southampton,pinnacle,0.019988574939912684
21/09/13,13,Liverpool-Southampton,williamhill,0.06172839506172845
21/09/13,13,Liverpool-Southampton,vcbet,0.027853056308340784
21/09/13,13,Newcastle-Hull,bet365,0.026254826254826114
21/09/13,13,Newcastle-Hull,bwin,0.06554621848739495
21/09/13,13,Newcastle-Hull,interwetten,0.08039561300430864
21/09/13,13,Newcastle-Hull,pinnacle,0.021627933632184515
21/09/13,13,Newcastle-Hull,williamhill,0.058948087431693885
21/09/13,13,Newcastle-Hull,vcbet,0.03475218099894528
21/09/13,13,Norwich-Aston Villa,bet365,0.023284313725490335
21/09/13,13,Norwich-Aston Villa,bwin,0.0645245559038663
21/09/13,13,Norwich-Aston Villa,interwetten,0.08015640273704783
21/09/13,13,Norwich-Aston Villa,pinnacle,0.02002255788374896
21/09/13,13,Norwich-Aston Villa,williamhill,0.032196969696969724
21/09/13,13,Norwich-Aston Villa,vcbet,0.02486155752623631
21/09/13,13,West Brom-Sunderland,bet365,0.02001776320284221
21/09/13,13,West Brom-Sunderland,bwin,0.06334841628959276
21/09/13,13,West Brom-Sunderland,interwetten,0.08080808080808088
21/09/13,13,West Brom-Sunderland,pinnacle,0.02069524191964245
21/09/13,13,West Brom-Sunderland,williamhill,0.059523809523809534
21/09/13,13,West Brom-Sunderland,vcbet,0.029929420173322674
21/09/13,13,West Ham-Everton,bet365,0.022727272727272707
21/09/13,13,West Ham-Everton,bwin,0.061895551257253434
21/09/13,13,West Ham-Everton,interwetten,0.0815639387067959
21/09/13,13,West Ham-Everton,pinnacle,0.019918363235870595
21/09/13,13,West Ham-Everton,williamhill,0.06182795698924726
21/09/13,13,West Ham-Everton,vcbet,0.031930558784778906
22/09/13,13,Arsenal-Stoke,bet365,0.025770308123249208
22/09/13,13,Arsenal-Stoke,bwin,0.0655527708159287
22/09/13,13,Arsenal-Stoke,interwetten,0.0806530214424952
22/09/13,13,Arsenal-Stoke,pinnacle,0.017094509036491345
22/09/13,13,Arsenal-Stoke,williamhill,0.0365079365079366
22/09/13,13,Arsenal-Stoke,vcbet,0.021008403361344463
22/09/13,13,Cardiff-Tottenham,bet365,0.023560209424083656
22/09/13,13,Cardiff-Tottenham,bwin,0.06862745098039214
22/09/13,13,Cardiff-Tottenham,interwetten,0.0793650793650793
22/09/13,13,Cardiff-Tottenham,pinnacle,0.020616263881578556
22/09/13,13,Cardiff-Tottenham,williamhill,0.05828243164630598
22/09/13,13,Cardiff-Tottenham,vcbet,0.02861071447458885
22/09/13,13,Crystal Palace-Swansea,bet365,0.024276377217553602
22/09/13,13,Crystal Palace-Swansea,bwin,0.06039355688724557
22/09/13,13,Crystal Palace-Swansea,interwetten,0.0815639387067959
22/09/13,13,Crystal Palace-Swansea,pinnacle,0.020653942230015154
22/09/13,13,Crystal Palace-Swansea,williamhill,0.05978260869565233
22/09/13,13,Crystal Palace-Swansea,vcbet,0.024276377217553602
22/09/13,13,Man City-Man United,bet365,0.02644087938205586
22/09/13,13,Man City-Man United,bwin,0.06442577030812324
22/09/13,13,Man City-Man United,interwetten,0.08064658210007059
22/09/13,13,Man City-Man United,pinnacle,0.019224657856577565
22/09/13,13,Man City-Man United,williamhill,0.03472222222222232
22/09/13,13,Man City-Man United,vcbet,0.03437738731856377
28/09/13,13,Aston Villa-Man City,bet365,0.02888406710062763
28/09/13,13,Aston Villa-Man City,bwin,0.06243525755720869
28/09/13,13,Aston Villa-Man City,interwetten,0.08014297530426573
28/09/13,13,Aston Villa-Man City,pinnacle,0.020598320823614902
28/09/13,13,Aston Villa-Man City,williamhill,0.0685666067831674
28/09/13,13,Aston Villa-Man City,vcbet,0.023346968540273183
28/09/13,13,Fulham-Cardiff,bet365,0.026718379659556035
28/09/13,13,Fulham-Cardiff,bwin,0.06618819776714502
28/09/13,13,Fulham-Cardiff,interwetten,0.0793287566742944
28/09/13,13,Fulham-Cardiff,pinnacle,0.021270370432939334
28/09/13,13,Fulham-Cardiff,williamhill,0.06646825396825395
28/09/13,13,Fulham-Cardiff,vcbet,0.03346601798614168
28/09/13,13,Hull-West Ham,bet365,0.026228673287496784
28/09/13,13,Hull-West Ham,bwin,0.06061256005490723
28/09/13,13,Hull-West Ham,interwetten,0.08061594202898559
28/09/13,13,Hull-West Ham,pinnacle,0.02008286599178022
28/09/13,13,Hull-West Ham,williamhill,0.06182795698924726
28/09/13,13,Hull-West Ham,vcbet,0.027389277389277433
28/09/13,13,Man United-West Brom,bet365,0.026477146042363398
28/09/13,13,Man United-West Brom,bwin,0.06756383712905456
28/09/13,13,Man United-West Brom,interwetten,0.07970926711084192
28/09/13,13,Man United-West Brom,pinnacle,0.0228792459297662
28/09/13,13,Man United-West Brom,williamhill,0.060139860139859946
28/09/13,13,Man United-West Brom,vcbet,0.03405290361812097
28/09/13,13,Southampton-Crystal Palace,bet365,0.029524453459544686
28/09/13,13,Southampton-Crystal Palace,bwin,0.06568144499178996
28/09/13,13,Southampton-Crystal Palace,interwetten,0.0806010928961749
28/09/13,13,Southampton-Crystal Palace,pinnacle,0.019522419587576723
28/09/13,13,Southampton-Crystal Palace,williamhill,0.06666666666666665
28/09/13,13,Southampton-Crystal Palace,vcbet,0.02777777777777768
28/09/13,13,Swansea-Arsenal,bet365,0.026785714285714413
28/09/13,13,Swansea-Arsenal,bwin,0.06114273666455827
28/09/13,13,Swansea-Arsenal,interwetten,0.08225108225108224
28/09/13,13,Swansea-Arsenal,pinnacle,0.020225743249452144
28/09/13,13,Swansea-Arsenal,williamhill,0.032196969696969724
28/09/13,13,Swansea-Arsenal,vcbet,0.027389277389277433
28/09/13,13,Tottenham-Chelsea,bet365,0.020622895622895765
28/09/13,13,Tottenham-Chelsea,bwin,0.06500417821172544
28/09/13,13,Tottenham-Chelsea,interwetten,0.08173076923076916
28/09/13,13,Tottenham-Chelsea,pinnacle,0.020438700953940625
28/09/13,13,Tottenham-Chelsea,williamhill,0.03530377668308704
28/09/13,13,Tottenham-Chelsea,vcbet,0.03247327385258414
29/09/13,13,Stoke-Norwich,bet365,0.02916038210155847
29/09/13,13,Stoke-Norwich,bwin,0.06585081585081598
29/09/13,13,Stoke-Norwich,interwetten,0.0793287566742944
29/09/13,13,Stoke-Norwich,pinnacle,0.02001389787508656
29/09/13,13,Stoke-Norwich,williamhill,0.03863918990939785
29/09/13,13,Stoke-Norwich,vcbet,0.026675786593707285
29/09/13,13,Sunderland-Liverpool,bet365,0.026463732346085234
29/09/13,13,Sunderland-Liverpool,bwin,0.06921850079744818
29/09/13,13,Sunderland-Liverpool,interwetten,0.08049253605465134
29/09/13,13,Sunderland-Liverpool,pinnacle,0.02027848580789926
29/09/13,13,Sunderland-Liverpool,williamhill,0.03896103896103886
29/09/13,13,Sunderland-Liverpool,vcbet,0.03703083343801916
30/09/13,13,Everton-Newcastle,bet365,0.022727272727272707
30/09/13,13,Everton-Newcastle,bwin,0.06322843822843827
30/09/13,13,Everton-Newcastle,interwetten,0.07991681521093286
30/09/13,13,Everton-Newcastle,pinnacle,0.020574055414613657
30/09/13,13,Everton-Newcastle,williamhill,0.032135728542914244
30/09/13,13,Everton-Newcastle,vcbet,0.022727272727272707
05/10/13,13,Cardiff-Newcastle,bet365,0.02486155752623631
05/10/13,13,Cardiff-Newcastle,bwin,0.06223358908780896
05/10/13,13,Cardiff-Newcastle,interwetten,0.08015640273704783
05/10/13,13,Cardiff-Newcastle,pinnacle,0.01936597207291757
05/10/13,13,Cardiff-Newcastle,williamhill,0.06182795698924726
05/10/13,13,Cardiff-Newcastle,vcbet,0.02486155752623631
05/10/13,13,Fulham-Stoke,bet365,0.022727272727272707
05/10/13,13,Fulham-Stoke,bwin,0.06039355688724557
05/10/13,13,Fulham-Stoke,interwetten,0.07954545454545459
05/10/13,13,Fulham-Stoke,pinnacle,0.02043971133472966
05/10/13,13,Fulham-Stoke,williamhill,0.06182795698924726
05/10/13,13,Fulham-Stoke,vcbet,0.02369356833642544
05/10/13,13,Hull-Aston Villa,bet365,0.02369356833642544
05/10/13,13,Hull-Aston Villa,bwin,0.06061256005490723
05/10/13,13,Hull-Aston Villa,interwetten,0.08333333333333348
05/10/13,13,Hull-Aston Villa,pinnacle,0.01988034919056636
