id_game,matchweek,date,hometeam,awayteam,results,results_categoric,market_tracktake,odds,probas,bets,log_growth
2528,32,2021-04-21,tottenham,southampton,0,away,0.024813690558682436,4.56,0.16397336012056182,2.2770875442071582e-17,0.10052953639471332
2529,32,2021-04-21,aston_villa,man_city,0,home,0.02460001264782141,9.0,0.15534551818600464,0.04373136372834288,0.10052953639471332
2529,32,2021-04-21,aston_villa,man_city,0,draw,0.02460001264782141,5.02,0.19782988258610787,0.008537108795797811,0.10052953639471332
2529,32,2021-04-21,aston_villa,man_city,1,away,0.02460001264782141,1.4,0.6468245992278874,1.330095964551869e-17,0.10052953639471332
2530,32,2021-04-22,leicester,west_brom,1,home,0.023866942275302398,1.6,0.4722239380927678,2.208470380762243e-17,0.10052953639471332
2530,32,2021-04-22,leicester,west_brom,0,draw,0.023866942275302398,4.2,0.293860821376029,0.09303365921150031,0.10052953639471332
2530,32,2021-04-22,leicester,west_brom,0,away,0.023866942275302398,6.22,0.23391524053120336,0.09598045901749798,0.10052953639471332
2531,33,2021-04-23,arsenal,everton,0,home,0.02259209862302636,2.08,0.4671738223783192,1.8791917730815798e-17,0.16118094531417815
2531,33,2021-04-23,arsenal,everton,0,draw,0.02259209862302636,3.52,0.2792118870793115,1.4382944266131225e-17,0.16118094531417815
2531,33,2021-04-23,arsenal,everton,1,away,0.02259209862302636,3.88,0.2536142905423693,1.640538208495521e-17,0.16118094531417815
2532,33,2021-04-24,liverpool,newcastle,0,home,0.023713227388571845,1.26,0.6308677251468198,6.4915639881650165e-18,0.16118094531417815
2532,33,2021-04-24,liverpool,newcastle,1,draw,0.023713227388571845,6.53,0.22149332583085166,0.07949075235688718,0.16118094531417815
2532,33,2021-04-24,liverpool,newcastle,0,away,0.023713227388571845,13.0,0.14763894902232866,0.07377623112114823,0.16118094531417815
2533,33,2021-04-24,west_ham,chelsea,0,home,0.019529711571875552,5.0,0.2642115234276189,0.06925655562159415,0.16118094531417815
2533,33,2021-04-24,west_ham,chelsea,0,draw,0.019529711571875552,3.88,0.2701230783762343,0.033213125455003,0.16118094531417815
2533,33,2021-04-24,west_ham,chelsea,1,away,0.019529711571875552,1.78,0.4656653981961467,1.976953422654829e-17,0.16118094531417815
2534,33,2021-04-24,sheffield_united,brighton,1,home,0.024413550623723967,5.54,0.2745288901567518,0.11314460115619744,0.16118094531417815
2534,33,2021-04-24,sheffield_united,brighton,0,draw,0.024413550623723967,3.67,0.3139014273460846,0.08269749057610072,0.16118094531417815
2534,33,2021-04-24,sheffield_united,brighton,0,away,0.024413550623723967,1.75,0.4115696824971635,1.1152865181066846e-17,0.16118094531417815
2535,33,2021-04-25,wolves,burnley,0,home,0.01581576026637066,2.12,0.4241366975806836,7.811669983415752e-18,0.16118094531417815
2535,33,2021-04-25,wolves,burnley,0,draw,0.01581576026637066,3.4,0.333818128065604,0.04140328723821481,0.16118094531417815
2535,33,2021-04-25,wolves,burnley,1,away,0.01581576026637066,4.0,0.2420451743537124,0.005907058605718266,0.16118094531417815
2536,33,2021-04-25,leeds,man_united,0,home,0.02435147900415036,4.17,0.2460333346759628,0.005340384440930062,0.16118094531417815
2536,33,2021-04-25,leeds,man_united,1,draw,0.02435147900415036,4.2,0.2334417877839967,1.0185824370413757e-18,0.16118094531417815
2536,33,2021-04-25,leeds,man_united,0,away,0.02435147900415036,1.83,0.5205248775400406,5.145178772607869e-18,0.16118094531417815
2537,33,2021-04-25,aston_villa,west_brom,0,home,0.01674641148325362,1.9,0.4618052060364569,2.719912515714684e-18,0.16118094531417815
2537,33,2021-04-25,aston_villa,west_brom,1,draw,0.01674641148325362,3.8,0.27990746259982596,0.027399567052599196,0.16118094531417815
2537,33,2021-04-25,aston_villa,west_brom,0,away,0.01674641148325362,4.4,0.2582873313637172,0.035867747198446646,0.16118094531417815
