id_game,matchweek,results,results_categoric,odds,probas,bets,log_growth
2471,27,0,away,2.09,0.4408064647085511,,
2472,27,0,home,8.18,0.17728904839138346,0.04603037111249466,0.18367103925159942
2472,27,1,draw,4.75,0.24491564680285766,,
2472,27,0,away,1.45,0.577795304805759,,
2473,27,0,home,4.1,0.2938859744735263,0.043275340381791205,0.18367103925159942
2473,27,0,draw,3.66,0.2310204309139153,,
2473,27,1,away,2.0,0.4750935946125586,,
2474,27,0,home,4.5,0.18457953214146225,,
2474,27,0,draw,3.77,0.28355666172710703,0.01482958823968154,0.18367103925159942
2474,27,1,away,1.87,0.5318638061314308,,
2475,27,0,home,2.28,0.6568096160347355,0.32826028790848877,0.18367103925159942
2475,27,0,draw,3.69,0.21899590885932854,,
2475,27,1,away,3.2,0.124194475105936,,
2476,27,0,home,5.75,0.2650777142148356,0.08414535415889206,0.18367103925159942
2476,27,1,draw,4.02,0.3179497188419702,,
2476,27,0,away,1.66,0.41697256694319423,,
2477,27,0,home,3.77,0.3224617173756896,0.05134566010645406,0.18367103925159942
2477,27,0,draw,3.5,0.3033518395572056,,
2477,27,1,away,2.15,0.3741864430671049,,
2478,27,0,home,2.48,0.3892886848557103,,
2478,27,1,draw,3.25,0.311145752780022,0.002854301575815229,0.18367103925159942
2478,27,0,away,3.28,0.2995655623642677,,
2479,27,0,home,2.6,0.2575735742244121,,
2479,27,0,draw,3.37,0.26604379513914195,,
2479,27,1,away,3.02,0.47638263063644604,0.16612258831761384,0.18367103925159942
2480,27,0,home,2.47,0.3650425420132921,,
2480,27,1,draw,3.29,0.2770577505933192,,
2480,27,0,away,3.2,0.3578997073933887,0.041451899056251074,0.18367103925159942
2481,28,0,home,1.42,0.6576914934665197,,
2481,28,0,draw,5.25,0.2544183945940911,0.07445897966479821,0.050868892896585374
2481,28,1,away,9.5,0.08789011193938914,,
2482,28,0,home,1.52,0.6144652065204778,,
2482,28,0,draw,4.5,0.22348458031387855,,
2482,28,1,away,7.5,0.16205021316564375,0.030654017587356048,0.050868892896585374
2483,28,1,home,1.5,0.6554554982636687,,
2483,28,0,draw,4.6,0.22377230925120212,0.0074036291899104755,0.050868892896585374
2483,28,0,away,7.5,0.1207721924851293,,
2484,28,1,home,1.57,0.5553238273367956,,
2484,28,0,draw,4.33,0.2386231183417231,,
2484,28,0,away,6.72,0.20605305432148127,0.06348094877487763,0.050868892896585374
2485,28,1,home,2.14,0.4078289539769804,,
2485,28,0,draw,3.67,0.2994838944832862,0.033957688738673796,0.050868892896585374
2485,28,0,away,3.55,0.29268715153973346,,
2486,28,1,home,1.22,0.7522609260016262,,
2486,28,0,draw,7.5,0.1572818378824887,,
2486,28,0,away,17.0,0.09045723611588513,0.031755800762549434,0.050868892896585374
2487,28,0,home,3.9,0.2602031992009264,,
2487,28,1,draw,3.4,0.3294240560472224,0.04590381830981347,0.050868892896585374
2487,28,0,away,2.14,0.4103727447518512,,
2488,28,0,home,4.8,0.2675578939534028,0.07012598637003656,0.050868892896585374
2488,28,1,draw,4.0,0.251151700843839,,
2488,28,0,away,1.78,0.4812904052027583,,
2489,28,1,home,2.31,0.466458455790767,0.054019343048714606,0.050868892896585374
2489,28,0,draw,3.25,0.2717717956015945,,
2489,28,0,away,3.7,0.26176974860763835,,
2490,28,0,home,1.93,0.4969660453623117,,
2490,28,0,draw,3.52,0.2936779815128169,0.01216232020584027,0.050868892896585374
2490,28,1,away,4.54,0.20935597312487134,,
2491,29,0,home,10.46,0.13361374533649428,0.034717058259604416,0.1469495634170122
2491,29,0,draw,5.04,0.16815758562802094,,
2491,29,1,away,1.37,0.6982286690354849,,
2492,29,0,home,3.03,0.3110929989898968,,
2492,29,0,draw,3.14,0.31851473004953,4.905777332976101e-05,0.1469495634170122
2492,29,1,away,2.68,0.37039227096057337,,
2493,29,1,home,1.56,0.6322906831822045,0.0,0.1469495634170122
2493,29,0,draw,4.25,0.2280297210394304,,
2493,29,0,away,7.0,0.13967959577836522,,
2494,29,1,home,2.65,0.4194499936225205,0.053128580145614765,0.1469495634170122
2494,29,0,draw,3.4,0.2902755150552635,,
2494,29,0,away,2.87,0.29027449132221617,,
2495,29,1,home,1.88,0.5935435704340467,0.10374680282947069,0.1469495634170122
2495,29,0,draw,3.63,0.2146691512668716,,
2495,29,0,away,4.59,0.19178727829908174,,
2496,29,0,home,5.0,0.32684953868564914,0.1397882351653088,0.1469495634170122
2496,29,0,draw,3.86,0.2779641730272346,,
2496,29,1,away,1.78,0.39518628828711616,,
2497,29,0,home,2.48,0.3703741738997041,,
2497,29,0,draw,3.42,0.28079151399147784,,
2497,29,1,away,3.1,0.3488343121088181,0.030251023138489572,0.1469495634170122
2498,29,1,home,1.67,0.37513763234592296,,
2498,29,0,draw,3.61,0.3094181572872796,,
2498,29,0,away,6.73,0.3154442103667975,0.1843532952191717,0.1469495634170122
2499,29,0,home,2.9,0.3256571877507017,,
2499,29,1,draw,3.6,0.2957305702287666,0.0193458047908591,0.1469495634170122
2499,29,0,away,2.56,0.3786122420205318,,
2500,29,0,home,3.03,0.3607977932129883,0.0359343648711896,0.1469495634170122
2500,29,0,draw,3.46,0.24954880785192346,,
2500,29,1,away,2.48,0.38965339893508816,,
2501,30,0,home,1.22,0.6311213312869677,,
2501,30,0,draw,6.75,0.2282753556044519,,
2501,30,1,away,17.0,0.1406033131085805,0.0767597739079394,0.1822668384621854
2502,30,1,home,1.53,0.4806326232709464,,
2502,30,0,draw,4.56,0.2784311493461399,,
2502,30,0,away,7.0,0.24093622738291384,0.09532892476007519,0.1822668384621854
2503,30,0,home,6.75,0.29707349566154834,0.15513744537786833,0.1822668384621854
2503,30,0,draw,4.2,0.23984756345736866,,
2503,30,1,away,1.61,0.4630789408810829,,
2504,30,0,home,3.18,0.3872403956301431,0.08051997383826812,0.1822668384621854
2504,30,0,draw,3.7,0.3040820525582692,,
2504,30,1,away,2.3,0.3086775518115876,,
2505,30,1,home,2.11,0.3573503702958648,,
2505,30,0,draw,3.4,0.3188072084918829,,
2505,30,0,away,3.97,0.3238424212122523,0.07392061749815183,0.1822668384621854
2506,30,0,home,5.8,0.2582330450986522,0.08352811142570744,0.1822668384621854
2506,30,1,draw,4.17,0.2315304173178881,,
2506,30,0,away,1.65,0.5102365375834597,,
2507,30,1,home,2.32,0.4127513792245824,,
2507,30,0,draw,3.36,0.305261533175038,0.007772448437990316,0.1822668384621854
2507,30,0,away,3.4,0.28198708760037955,,
2508,30,1,home,1.67,0.5773599701852585,,
2508,30,0,draw,4.04,0.2441188804848205,,
2508,30,0,away,5.59,0.1785211493299209,1.1043062747821468e-18,0.1822668384621854
2509,30,0,home,1.84,0.5156581254337749,,
2509,30,1,draw,3.54,0.2912412462318552,0.008727525830575015,0.1822668384621854
