result,season,matchweek,date,hometeam,awayteam,big_six_ad,promoted_team_ad,position_table_ad,total_pts_ad,npxGD_ma_ad,ip_ad,saa_ad,proba_h,proba_d,proba_a
H,14,8,2014-10-18,everton,aston_villa,0,0,-7,-4,0.6815636753873238,1,3.1799999999999997,0.6415340887810603,0.20883982039043025,0.1496260908285095
H,14,8,2014-10-18,man_city,tottenham,0,0,4,3,0.8246712672219023,2,2.8099999999999987,0.6632552923033787,0.19711201458012054,0.13963269311650078
H,14,8,2014-10-18,newcastle,leicester,0,1,-6,-5,0.5635523953477105,6,0.28000000000000114,0.46132180383923843,0.275242420778033,0.2634357753827286
H,14,8,2014-10-18,southampton,sunderland,0,0,10,5,0.605940067122195,-1,-1,0.6416131989000917,0.21814848762603117,0.1402383134738772
A,14,8,2014-10-19,queens_rangers,liverpool,-1,-1,-11,-6,-1.2587695113457302,-4,0.7300000000000004,0.14333477961256733,0.22727852785789032,0.6293866925295425
H,14,8,2014-10-19,stoke,swansea,0,0,-11,-3,0.5482668853332426,0,0.370000000000001,0.4116105466734473,0.2959616619585513,0.2924277913680014
D,14,8,2014-10-20,west_brom,man_united,-1,0,-10,-3,-0.39964414941236615,-6,2.370000000000001,0.203078163468045,0.24895114963214657,0.5479706868998085
D,14,9,2014-10-25,liverpool,hull,1,0,6,3,0.7552635613850488,7,-1.9100000000000001,0.7000269759913677,0.18667386026436472,0.11329916374426759
H,14,9,2014-10-25,southampton,stoke,0,0,7,5,1.1321203036850847,-1,-1.4600000000000009,0.6099367328426588,0.23662605780160978,0.15343720935573135
A,14,9,2014-10-25,sunderland,arsenal,-1,0,-10,-3,-1.136369086759987,-4,2.1799999999999997,0.20640603370089267,0.2607523032125639,0.5328416630865436
H,14,9,2014-10-25,swansea,leicester,0,1,7,2,0.585282566729431,4,-0.08999999999999986,0.5326097351056708,0.26063880654107296,0.20675145835325615
D,14,9,2014-10-25,west_brom,crystal_palace,0,0,2,1,-0.011424601796043501,3,-0.8200000000000003,0.5299793911487549,0.25733907444230886,0.21268153440893636
H,14,9,2014-10-25,west_ham,man_city,-1,0,-2,-4,0.005526980198057196,-5,-1.9100000000000001,0.14994164099220827,0.2101113552959485,0.6399470037118431
A,14,9,2014-10-26,burnley,everton,0,-1,-6,-5,-0.7588976868201253,-7,-2,0.23331209176358134,0.281583559025012,0.48510434921140677
D,14,9,2014-10-26,man_united,chelsea,0,0,-5,-10,-0.6817803859911196,0,-1.4600000000000009,0.34236075625958107,0.29228410832907514,0.3653551354113439
A,14,9,2014-10-26,tottenham,newcastle,1,0,9,4,-0.184832229843963,1,-1.9100000000000001,0.6301493305870237,0.22090628218331615,0.14894438722966016
H,14,9,2014-10-27,queens_rangers,aston_villa,0,-1,-8,-6,0.4242415710537085,-1,-0.2699999999999996,0.4234912723704087,0.29377322497767094,0.2827355026519203
H,14,10,2014-11-01,arsenal,burnley,1,1,15,10,1.2400300868515717,9,-2.09,0.7825197444173727,0.1473116988737524,0.0701685567088749
H,14,10,2014-11-01,chelsea,queens_rangers,1,1,18,16,1.2177679392606953,6,0.4499999999999993,0.8423304627662069,0.1120531349551376,0.04561640227865545
D,14,10,2014-11-01,everton,swansea,0,0,-3,-2,0.2156686796988338,2,1.6400000000000006,0.5106959927689062,0.27237119614341665,0.216932811087677
A,14,10,2014-11-01,hull,southampton,0,0,-8,-8,-1.6472029164350708,-2,0,0.22882640386901207,0.2557120126786871,0.5154615834523009
A,14,10,2014-11-01,leicester,west_brom,0,-1,-4,-1,-0.643642008575357,-4,-0.6400000000000006,0.3905137568540321,0.2816636579608105,0.32782258518515733
H,14,10,2014-11-01,newcastle,liverpool,-1,0,-7,-4,-0.20758558294841598,-2,0.4499999999999993,0.27595604395604395,0.2683956043956044,0.4556483516483517
D,14,10,2014-11-01,stoke,west_ham,0,0,-8,-5,-0.7374919421194333,0,1.1799999999999997,0.4050127594800698,0.29433359697951017,0.30065364354041996
A,14,10,2014-11-02,aston_villa,tottenham,-1,0,-4,-1,-0.9458800427842462,-2,2.4499999999999993,0.22390642829973373,0.2679535945226322,0.508139977177634
H,14,10,2014-11-02,man_city,man_united,0,0,5,4,-0.10521867307729088,-1,4,0.4837852690205756,0.2662796303600989,0.2499351006193255
A,14,10,2014-11-03,crystal_palace,sunderland,0,0,2,1,0.565993472712481,-3,0.4499999999999993,0.4644651557897572,0.28488996474313594,0.2506448794671068
H,14,11,2014-11-08,burnley,hull,0,-1,-6,-7,-0.19945479215258,-2,1.1799999999999997,0.38567924785393104,0.2941817686333288,0.32013898351274017
A,14,11,2014-11-08,liverpool,chelsea,0,0,-6,-12,-0.8589438389713419,-2,-2,0.28412764551214814,0.28088047242058073,0.4349918820672711
H,14,11,2014-11-08,man_united,crystal_palace,1,0,7,4,0.0730642514991739,9,-3.4499999999999993,0.746848951573361,0.16171440108447982,0.09143664734215914
D,14,11,2014-11-08,queens_rangers,man_city,-1,-1,-16,-13,-1.170326562289148,-5,0,0.1462253203255676,0.20302358524541617,0.650751094429016
H,14,11,2014-11-08,southampton,leicester,0,1,16,13,1.6008555636466695,3,-1.4499999999999993,0.6713943296922267,0.19842828367422083,0.13017738663355258
