result,season,matchweek,date,hometeam,awayteam,maxo_h,maxo_d,maxo_a,market_tracktake,diff_home,diff_draw,diff_away
H,19,37,2020-07-22,liverpool,chelsea,2.1,3.8,3.6,0.01712614870509599,-0.0748851200320736,0.02120134788577155,0.1358750280518921
H,19,38,2020-07-26,arsenal,watford,1.95,4.04,3.8,0.023503160032602555,0.061772461815412294,-0.04986620755778981,-0.06104302327803124
A,19,38,2020-07-26,burnley,brighton,2.37,3.55,3.13,0.023119887006486373,0.1285685876806697,-0.04476278503673914,-0.09938841146792521
H,19,38,2020-07-26,chelsea,wolves,1.9,3.81,4.33,0.019729863291824135,0.04236922160246537,-0.11301743776438145,0.053427132092801255
D,19,38,2020-07-26,crystal_palace,tottenham,6.5,4.27,1.57,0.024980866476115526,0.0846017603478233,0.08219346995540366,-0.04467206211881669
A,19,38,2020-07-26,everton,bournemouth,2.26,3.87,3.03,0.0309088122230623,0.034331403417900086,-0.04491274151588154,-0.007624213013651904
A,19,38,2020-07-26,leicester,man_united,3.25,3.51,2.3,0.027375201288244888,0.15304775171925789,0.036402751619210916,-0.10388896908483147
H,19,38,2020-07-26,man_city,norwich,1.08,15,41,0.016982836495031517,-0.03273048900313236,0.418529420854185,0.36278489623979615
A,19,38,2020-07-26,newcastle,liverpool,8,5.25,1.42,0.019701542588866694,-0.3048848591381491,-0.08960694569059569,0.1195226736745747
H,19,38,2020-07-26,southampton,sheffield_united,2.2,3.54,3.46,0.02604867129213173,-0.08615471735241342,0.03548480162598855,0.13139856568712927
D,19,38,2020-07-26,west_ham,aston_villa,3.12,3.62,2.31,0.029656347335905275,-0.1463455485172528,-0.023614768947536335,0.16599145272343185
A,20,2,2020-09-19,man_united,crystal_palace,1.35,5.88,10,0.010808767951625109,0.04474837907273432,-0.13298141764322757,-0.06301736987775841
H,20,2,2020-09-19,arsenal,west_ham,1.55,4.58,6.09,0.02770551415576694,-0.016801870628115223,-0.02117949737075897,0.10662417355943044
A,20,2,2020-09-20,southampton,tottenham,3.13,3.39,2.41,0.029411827964936466,0.09392771396747857,0.009718990878690548,-0.06817804541424377
A,20,2,2020-09-20,newcastle,brighton,2.75,3.22,2.91,0.01783798153139271,0.004783398013939122,-0.013176498472300513,0.006906269899777495
A,20,2,2020-09-20,chelsea,liverpool,3.2,3.85,2.2,0.02678571428571419,0.02766052851564771,8.072491756208056e-4,-0.01852963772725713
H,20,2,2020-09-20,leicester,burnley,1.63,4.13,6,0.022294349787330914,-0.05412149588180437,0.0500928459059895,0.1579041085234072
H,20,2,2020-09-21,aston_villa,sheffield_united,2.77,3.22,2.8,0.02871269367894702,-0.12292823034594613,-0.021604141014730627,0.1900899991964664
A,20,2,2020-09-21,wolves,man_city,6.5,4.5,1.57,0.013011051227611592,0.06052096558314868,0.03808791788090082,-0.026628044877946566
A,20,2,2020-09-26,brighton,man_united,5.1,3.82,1.78,0.01965628889357962,0.09670354441738782,0.14405881202804705,-0.08210537586668443
A,20,2,2020-09-26,crystal_palace,everton,3.8,3.44,2.17,0.014685062243004365,-0.03865769073965153,-0.03010215635166491,0.04497065060861494
D,20,3,2020-09-26,west_brom,chelsea,9,5.33,1.4,0.01301408618481803,-0.18695332717666469,-0.05743105241485047,0.056269857291417535
A,20,3,2020-09-26,burnley,southampton,3.41,3.31,2.36,0.01909874914950893,-0.01114428049887295,0.04895990677839723,-0.024845922641535623
A,20,3,2020-09-27,sheffield_united,leeds,2.83,3.5,2.63,0.01929931305577881,0.09174559347797406,-0.01725735537431594,-0.06094591002862326
D,20,3,2020-09-27,tottenham,newcastle,1.5,4.67,7.5,0.014132762312633718,-0.04322752172252964,0.0856281498324376,0.11004451504721513
A,20,3,2020-09-27,man_city,leicester,1.31,6.19,11,0.015818758064931826,0.011029563786213448,-0.04363740410931083,-0.00955721713239921
H,20,3,2020-09-27,west_ham,wolves,3.87,3.5,2.15,0.009228497600590524,-0.11462065089915352,-0.04385667876568722,0.1083651435203723
A,20,3,2020-09-28,fulham,aston_villa,2.98,3.32,2.55,0.028932151820864282,0.008482400984195504,0.03919810822723435,-0.03477409653004582
H,20,3,2020-09-28,liverpool,arsenal,1.5,4.76,6.53,0.029890057094813294,-0.0045441482117047904,0.09792924829591398,-0.09296136016227319
H,20,3,2020-10-03,chelsea,crystal_palace,1.47,4.86,8,0.01103342571596544,0.0798647080727628,-0.12214701972342812,-0.15244251571139722
H,20,3,2020-10-03,everton,brighton,1.78,3.82,5,0.023577857521030587,0.006707382799552519,3.883436607512447e-4,-0.01819432202245319
D,20,4,2020-10-03,leeds,man_city,8,5.5,1.4,0.02110389610389607,0.09222244689892989,0.38917837776795605,-0.07984684221168459
H,20,4,2020-10-03,newcastle,burnley,2.51,3.2,3.2,0.023406374501992122,-0.03520444106404608,0.04402201057408717,0.004263320746428878
A,20,4,2020-10-04,leicester,west_ham,1.73,4.2,5.25,0.006606110652353392,0.08906748048513502,-0.07657739853970202,-0.12217232894278773
H,20,4,2020-10-04,southampton,west_brom,1.78,3.91,4.75,0.028078544301787245,0.046124404376946204,-0.017120097623531727,-0.08732887827022784
H,20,4,2020-10-04,arsenal,sheffield_united,1.6,4.17,6.73,0.013396563581230092,-0.04181248915435687,0.06581701446197386,0.09720300647561131
H,20,4,2020-10-04,wolves,fulham,1.53,4.2,7.63,0.022751608288575254,0.19316534682102282,-0.1420572982382169,-0.3409090243547951
A,20,4,2020-10-04,man_united,tottenham,1.95,3.8,4.1,0.01988084658174527,0.08900014269942447,-0.02441915658663818,-0.1273731384098814
H,20,4,2020-10-04,aston_villa,liverpool,10.05,5.5,1.35,0.022061410121111624,-0.3353368597383819,-0.0667513353575161,0.0921609759593156
D,20,4,2020-10-17,everton,liverpool,4.04,4.2,1.87,0.02037934885925563,0.043412649374065415,0.008420295571992309,-0.022460095882563036
D,20,4,2020-10-17,chelsea,southampton,1.57,4.75,6.5,0.0013151447948631656,0.03736759834490089,-0.0010534238160212483,-0.12307458540201222
