date,team_name,npxGD,xi,mean_value
2015-05-04,Arsenal,2.4746740000000003,wmean_01,0.888459990871367
2015-05-04,Arsenal,2.4746740000000003,wmean_005,0.8121600133827417
2015-05-04,Arsenal,2.4746740000000003,wmean_0,0.7754500882639858
2015-05-11,Arsenal,1.536455,wmean_inf,1.6241795561510313
2015-05-11,Arsenal,1.536455,wmean_05,1.501453121541058
2015-05-11,Arsenal,1.536455,wmean_01,0.963181133072668
2015-05-11,Arsenal,1.536455,wmean_005,0.8593675590404624
2015-05-11,Arsenal,1.536455,wmean_0,0.7971930857842681
2015-05-17,Arsenal,0.3529260000000001,wmean_inf,0.5518997015090755
2015-05-17,Arsenal,0.3529260000000001,wmean_05,1.0296471639516191
2015-05-17,Arsenal,0.3529260000000001,wmean_01,0.8950708870990063
2015-05-17,Arsenal,0.3529260000000001,wmean_005,0.8271083337786734
2015-05-17,Arsenal,0.3529260000000001,wmean_0,0.7848523333771066
2015-05-20,Arsenal,0.18731999999999993,wmean_inf,0.3055540633453566
2015-05-20,Arsenal,0.18731999999999993,wmean_05,0.7455363253042373
2015-05-20,Arsenal,0.18731999999999993,wmean_01,0.8212232495626512
2015-05-20,Arsenal,0.18731999999999993,wmean_005,0.7880165030020974
2015-05-20,Arsenal,0.18731999999999993,wmean_0,0.7687028108218313
2015-05-24,Arsenal,2.597048,wmean_inf,1.8933265160581387
2015-05-24,Arsenal,2.597048,wmean_05,1.319120672106264
2015-05-24,Arsenal,2.597048,wmean_01,0.9978935041475535
2015-05-24,Arsenal,2.597048,wmean_005,0.8950262211443268
2015-05-24,Arsenal,2.597048,wmean_0,0.8168171579997244
2015-08-09,Arsenal,0.795699,wmean_inf,0.7956990001317683
2015-08-09,Arsenal,0.795699,wmean_05,0.8025140567511132
2015-08-09,Arsenal,0.795699,wmean_01,0.9513681395479205
2015-08-09,Arsenal,0.795699,wmean_005,0.885789495726807
2015-08-09,Arsenal,0.795699,wmean_0,0.8162756667673483
2015-08-16,Arsenal,1.0912859999999998,wmean_inf,1.0593245717886426
2015-08-16,Arsenal,1.0912859999999998,wmean_05,0.9813720445717021
2015-08-16,Arsenal,1.0912859999999998,wmean_01,0.9797356291828051
2015-08-16,Arsenal,1.0912859999999998,wmean_005,0.9040899224456856
2015-08-16,Arsenal,1.0912859999999998,wmean_0,0.8231509251188149
2015-08-24,Arsenal,0.54549,wmean_inf,0.5924401570954047
2015-08-24,Arsenal,0.54549,wmean_05,0.753371104870292
2015-08-24,Arsenal,0.54549,wmean_01,0.8993146298579501
2015-08-24,Arsenal,0.54549,wmean_005,0.8731904773942841
2015-08-24,Arsenal,0.54549,wmean_0,0.8163787074123904
2015-08-29,Arsenal,2.3075106,wmean_inf,1.9713131696703434
2015-08-29,Arsenal,2.3075106,wmean_05,1.4182143763068487
2015-08-29,Arsenal,2.3075106,wmean_01,1.1329463570151372
2015-08-29,Arsenal,2.3075106,wmean_005,0.9907748565447347
2015-08-29,Arsenal,2.3075106,wmean_0,0.8518818478199934
2015-09-12,Arsenal,4.235563,wmean_inf,4.194910144921104
2015-09-12,Arsenal,4.235563,wmean_05,2.9329537593943567
2015-09-12,Arsenal,4.235563,wmean_01,1.6557272192024142
2015-09-12,Arsenal,4.235563,wmean_005,1.2603336119061135
2015-09-12,Arsenal,4.235563,wmean_0,0.9305721074219762
2015-09-19,Arsenal,-1.2933880000000002,wmean_inf,-0.690288287394472
2015-09-19,Arsenal,-1.2933880000000002,wmean_05,0.9470032166233268
